KalmanPitch,KalmanYaw,LinearAccelMag,TotalAccelMag,GyroMag,lat,lng,kecepatan,sat,throttle,arus,millis,attempt
0.35,-2.45,0.28,9.77,0.66,0.0,0.0,10.0,0,0,9.16,14892,1
0.4,-2.14,0.45,9.91,1.29,0.0,0.0,10.0,0,0,0.0,15100,1
0.42,-2.23,0.3,9.93,0.89,0.0,0.0,10.0,0,0,0.0,15307,1
0.38,-2.42,0.21,9.84,1.35,0.0,0.0,10.0,0,0,0.0,15514,1
0.41,-2.68,1.2,9.99,1.52,0.0,0.0,10.0,0,0,0.0,15721,1
0.54,-2.13,0.23,9.91,2.47,0.0,0.0,10.0,0,0,0.0,15929,1
0.56,-2.52,0.75,9.81,2.16,0.0,0.0,10.0,0,0,0.0,16139,1
0.63,-2.68,0.68,9.78,1.08,0.0,0.0,10.0,0,0,0.0,16346,1
0.71,-2.79,0.5,9.89,0.99,0.0,0.0,10.0,0,0,0.0,16553,1
0.77,-2.94,0.19,9.89,1.2,0.0,0.0,10.0,0,0,0.0,16761,1
0.8,-3.05,0.53,9.81,0.89,0.0,0.0,10.0,0,0,0.0,16968,1
0.83,-3.04,0.28,9.87,0.49,0.0,0.0,10.0,0,0,0.0,17175,1
0.93,-3.01,0.1,9.87,0.74,0.0,0.0,10.0,0,0,0.0,17382,1
1.03,-3.27,0.64,9.76,1.74,0.0,0.0,10.0,0,0,0.0,17589,1
1.02,-3.4,0.36,9.89,1.13,0.0,0.0,10.0,0,0,0.0,17799,1
1.02,-3.57,0.4,9.83,1.28,0.0,0.0,10.0,0,0,0.0,18007,1
1.07,-3.8,0.56,9.9,1.6,0.0,0.0,10.0,0,0,0.0,18214,1
1.03,-4.07,0.36,9.92,1.69,0.0,0.0,10.0,0,0,0.0,18426,1
1.06,-5.1,0.87,10.05,5.58,0.0,0.0,10.0,0,0,0.0,18634,1
1.08,-5.1,0.35,10.0,0.84,0.0,0.0,10.0,0,0,0.0,18841,1
1.12,-5.09,0.35,9.87,0.75,0.0,0.0,10.0,0,0,0.0,19049,1
1.17,-5.12,0.37,9.89,0.97,0.0,0.0,10.0,0,0,0.0,19259,1
1.21,-5.14,0.2,9.86,0.88,0.0,0.0,10.0,0,0,0.0,19466,1
1.25,-5.29,0.27,9.83,1.41,0.0,0.0,10.0,0,0,0.0,19673,1
1.24,-5.24,0.27,9.83,0.4,0.0,0.0,10.0,0,0,0.0,19881,1
1.26,-5.22,0.22,9.93,0.72,0.0,0.0,10.0,0,0,0.0,20088,1
1.25,-5.28,0.6,9.92,0.92,0.0,0.0,10.0,0,0,0.0,20295,1
1.26,-5.28,0.39,9.83,0.71,0.0,0.0,10.0,0,0,0.0,20502,1
1.32,-5.36,0.32,9.9,1.17,0.0,0.0,10.0,0,0,0.0,20710,1
1.37,-5.43,0.26,9.91,1.03,0.0,0.0,10.0,0,0,0.0,20920,1
1.41,-5.46,0.36,9.84,0.96,0.0,0.0,10.0,0,0,0.0,21128,1
1.44,-5.39,0.35,9.84,0.68,0.0,0.0,10.0,0,0,0.0,21336,1
1.43,-5.39,0.18,9.83,0.75,0.0,0.0,10.0,0,0,0.0,21544,1
1.37,-4.61,1.28,9.99,3.01,0.0,0.0,10.0,0,0,0.0,21752,1
