KalmanPitch,KalmanYaw,LinearAccelMag,TotalAccelMag,GyroMag,lat,lng,kecepatan,sat,throttle,arus,millis
6.71,-9.77,0.62,9.88,0.58,-6.910292,107.675446,0.11,12,0,9.16,639009
6.70,-9.75,0.62,9.83,0.66,-6.910292,107.675446,0.24,12,0,6.10,639216
6.68,-9.73,0.62,9.87,0.64,-6.910292,107.675446,0.30,12,0,7.63,639423
6.64,-9.74,0.68,9.89,0.74,-6.910292,107.675446,0.50,12,0,9.16,639630
6.61,-9.78,0.65,9.82,0.91,-6.910292,107.675446,0.13,12,0,7.63,639837
6.62,-9.78,0.68,9.88,0.71,-6.910292,107.675446,0.35,12,0,9.16,640044
6.62,-9.78,0.69,9.84,0.75,-6.910292,107.675446,0.43,12,0,9.16,640251
6.62,-9.77,0.66,9.84,0.64,-6.910292,107.675446,0.43,12,0,9.16,640461
6.62,-9.79,0.67,9.84,0.82,-6.910292,107.675446,0.17,12,0,7.63,640668
6.61,-9.79,0.66,9.83,0.75,-6.910292,107.675446,0.22,12,0,9.16,640875
6.59,-9.77,0.71,9.93,0.68,-6.910292,107.675446,0.09,12,0,7.63,641082
6.62,-9.74,0.68,9.87,0.65,-6.910292,107.675446,0.02,12,0,7.63,641289
6.61,-9.69,0.62,9.84,0.54,-6.910292,107.675446,0.11,12,0,7.63,641496
6.62,-9.67,0.64,9.86,0.77,-6.910292,107.675446,0.11,12,0,10.68,641703
6.61,-9.64,0.70,9.86,0.55,-6.910292,107.675446,0.04,12,0,6.10,641912
6.63,-9.67,0.75,9.83,0.86,-6.910292,107.675446,0.24,12,0,7.63,642119
6.63,-9.70,0.67,9.86,0.81,-6.910292,107.675446,0.09,12,0,7.63,642326
6.61,-9.72,0.67,9.90,0.80,-6.910292,107.675446,0.09,12,0,9.16,642533
6.63,-9.72,0.64,9.87,0.82,-6.910292,107.675446,0.46,12,0,7.63,642740
6.64,-9.75,0.63,9.91,0.84,-6.910292,107.675446,0.22,12,0,7.63,642947
6.64,-9.76,0.68,9.89,0.82,-6.910292,107.675446,0.15,12,0,9.16,643154
6.68,-9.75,0.68,9.86,0.83,-6.910292,107.675446,0.06,12,0,9.16,643363
6.67,-9.74,0.61,9.87,0.69,-6.910292,107.675446,0.11,12,0,6.10,643570
6.64,-9.73,0.64,9.94,0.66,-6.910292,107.675446,0.22,12,0,9.16,643777
6.64,-9.74,0.69,9.91,0.82,-6.910292,107.675446,0.07,12,0,0.00,643984
6.63,-9.72,0.63,9.81,0.62,-6.910292,107.675446,0.09,12,0,9.16,644191
6.63,-9.73,0.63,9.82,0.82,-6.910292,107.675446,0.24,12,0,7.63,644398
6.64,-9.73,0.65,9.74,0.75,-6.910292,107.675446,0.22,12,0,9.16,644605
6.63,-9.71,0.64,9.86,0.67,-6.910292,107.675446,0.02,12,0,6.10,644814
6.65,-9.70,0.73,9.91,0.81,-6.910292,107.675446,0.09,12,0,6.10,645021
6.64,-9.70,0.65,9.87,0.69,-6.910292,107.675446,0.11,12,0,6.10,645228
6.64,-9.69,0.66,9.85,0.76,-6.910292,107.675446,0.02,12,0,6.10,645435
6.63,-9.67,0.67,9.83,0.64,-6.910292,107.675446,0.22,12,0,6.10,645642
6.62,-9.69,0.70,9.87,0.81,-6.910292,107.675446,0.09,12,0,7.63,645849
6.62,-9.68,0.61,9.82,0.71,-6.910292,107.675446,0.07,12,0,6.10,646056
6.64,-9.66,0.68,9.89,0.69,-6.910293,107.675446,0.07,12,0,9.16,646265
